stop_id,stop_name,stop_lat,stop_lon,location_type
740000545,Skänninge station,58.392951,15.092572,
740000546,Mollaryd station,57.905982,13.022766,
740000547,Ormaryd station,57.664804,14.833298,
740000548,Kyrkhult,56.357117,14.587137,
740000549,Örkelljunga busstation,56.283186,13.281349,
740000551,Ringarum centrum,58.333517,16.445027,
740000552,Torpåkra station,57.940615,13.029492,
740000553,Kinna station,57.505980,12.698239,
740000554,Landvetter Airport,57.667881,12.295939,
740000555,Ljungby busstation,56.832140,13.936454,
740000556,Arlanda Centralstation,59.649472,17.929197,
740000557,Lindome station,57.576096,12.078476,
740000558,Borgholm busstation,56.882269,16.656249,
740000559,Knivsta station,59.725704,17.786687,
740000561,Mönsterås busstation,57.041152,16.447480,
740000564,Nättraby hörnet,56.206887,15.530721,
740000567,Bjärnum busstation,56.292206,13.710190,
740000569,Vårgårda station,58.031203,12.810288,
740000570,Linaälv station,67.254720,20.242434,
740000571,Piteå busstation,65.319922,21.473562,
740000572,Bergkvara busstation,56.394660,16.065300,
740000573,Sälen centrum,61.156714,13.265800,
740000574,Grövelsjön fjällstationen,62.098678,12.312653,
740000575,Älvdalen busstation,61.223119,14.044474,
740000576,Söderköping busstation,58.478118,16.323432,
740000577,Sorsele station,65.534860,17.543943,
740000578,Norra Unnaryd väg 26,57.601488,13.747040,
740000579,Harrå station,67.407185,20.102853,
740000580,Kungälv resecentrum,57.871875,11.968504,
740000581,Åmsele station,64.488207,19.326252,
740000583,Asarum Storgatan,56.208994,14.833818,
740000584,Hällevik hamn,56.012283,14.698040,
740000585,Ytterby station,57.862332,11.917246,
740000587,Brokind station,58.220250,15.684465,
740000588,Mjällby centrum,56.045712,14.678033,
740000589,Alfta Centrum,61.344623,16.063003,
740000590,Edsbyn centrum,61.376057,15.818005,
740000591,Hörby busstation,55.855560,13.671252,
740000592,Bergsjö busstation,61.985488,17.057720,
740000593,Valdemarsviks busstation,58.204217,16.603724,
740000594,Nossebro busstation,58.187448,12.718757,
740000596,Hamrångefjärden,60.897854,17.069232,
740000597,Brömsebro E22,56.298539,16.001010,
740000598,Los Norrbyn,61.734851,15.185611,
740000599,Harmånger torget,61.928317,17.217129,
740000600,Tidaholm busstation,58.179530,13.955820,
740000601,Iggesund Konsum,61.642455,17.079719,
740000602,Gnarp station,62.055708,17.244239,
740000603,Lunde lv 332,62.877365,17.863701,
740000604,Undersvik,61.600946,16.306484,
740000605,Vagnhärad station,58.945735,17.496696,
740000606,Ödeshög torget,58.228887,14.653295,
740000607,Gränna hamn,58.028960,14.456045,
740000608,Hjo busstation,58.305229,14.293490,
740000609,Vrigstad busstation,57.356524,14.465944,
740000610,Askersund busstation,58.879268,14.907771,
740000611,Skara busstation,58.383247,13.439056,
740000612,Älvkarleby kraftverk,60.560902,17.444024,
740000613,Skutskär centrum,60.625510,17.412731,
740000615,Arbrå station,61.470322,16.380028,
740000616,Mantorp station,58.348626,15.290731,
740000619,Hörnefors centrum,63.623606,19.908369,
740000620,Huskvarna station,57.782494,14.265303,
740000622,Stockholm Cityterminalen,59.330844,18.056373,
740000623,Rotebro station,59.476405,17.914337,
740000624,Gislaved busstation,57.304964,13.543007,
740000625,Hyltebruk bussterminal,56.998606,13.237365,
740000627,Marma station,60.490868,17.430610,
740000630,Horndals Bruk station,60.295885,16.413178,
740000631,Hedesunda,60.393633,17.006336,
740000632,Holmsveden station,61.118136,16.721788,
740000633,Järbo busstation,60.715681,16.596060,
740000635,Lingbo station,61.044848,16.672847,
740000636,Ljusne torget,61.211272,17.128715,
740000637,Norrsundet Fabriksplan,60.937959,17.140720,
740000638,Ställdalen station,59.933652,14.943210,
740000639,Sandarne,61.260211,17.145476,
740000640,Årsunda Sörby,60.512010,16.732252,
740000641,Bjursås Korsvägen,60.734457,15.438876,
740000642,Skepplanda Albotorget,57.983512,12.211050,
740000643,Fredriksberg bussplan,60.139534,14.378332,
740000644,Drottningplan Grycksbo,60.687736,15.484872,
740000645,Grönklitt,61.207663,14.539197,
740000646,Sälen Hundfjället hotellet,61.178002,12.965423,
740000647,Idre Konsum,61.857839,12.726196,
740000648,Sälen Lindvallen Snöcentret,61.155182,13.205494,
740000649,Nyhammar torget,60.292045,14.969926,
740000651,Fårösund färjeläge,57.865283,19.057911,
740000653,Pilgrimstad station,62.955128,15.040248,
740000654,Sundborn affären,60.653358,15.774540,
740000655,Svärdsjö centrum,60.741376,15.905459,
740000656,Sälen Högfjällshotellet,61.157611,13.118003,
740000658,Tandådalen Fjällkyrkan,61.177485,12.993998,
